,mode,threshold,precision,recall,f1_score,fp_per_hour,true_positives,false_positives,true_negatives,false_negatives,missed_vortex_rate,total_cost,science_cost,energy_cost,missed_rate,base_threshold,window_size,min_consecutive
high_precision,high_precision,0.9010758408258408,0.07303370786516854,0.12264150943396226,0.09154929577464789,5.54290619984323,39,495,52769,279,,,,,,,,
high_recall,high_recall,0.9010758408258408,0.07303370786516854,0.12264150943396226,0.09154929577464789,5.54290619984323,39,495,52769,279,0.5206972490761823,,,,,,,
cost_based,cost_based,0.6363095238095238,0.04019100676482292,0.31761006289308175,0.0713528788413988,27.009070210145197,101,2412,50852,217,,2818.217685043485,2170,648.2176850434847,,,,
max_f1,max_f1,0.9010758408258408,0.07303370786516854,0.12264150943396226,0.09154929109601294,5.54290619984323,39,495,52769,279,,,,,0.5206972490761823,,,
temporal_logic,temporal_logic,,0.05502392344497608,0.07232704402515723,0.0625,4.423127169571871,23,395,52869,295,,,,,0.550558023216752,0.9010758408258408,3,2
