,threshold,precision,recall,f1_score,accuracy,true_positives,false_positives,true_negatives,false_negatives,fp_per_hour
roc_youden,0.3165275689223057,0.015655853314527502,0.6981132075471698,0.0306249137812112,0.7377104251427719,222.0,13958.0,39306.0,96.0,156.2987570452764
f1_optimal,0.9010758408258408,0.07303370786516854,0.12264150943396226,0.09154929577464789,0.9855548505094994,39.0,495.0,52769.0,279.0,5.54290619984323
cost_sensitive,0.9,0.07235621521335807,0.12264150943396226,0.09101516919486581,0.9854615355903101,39.0,500.0,52764.0,279.0,5.598895151356799
mission_specific,0.9010758408258408,0.07303370786516854,0.12264150943396226,0.09154929577464789,0.9855548505094994,39.0,495.0,52769.0,279.0,5.54290619984323
